attributes,geometry
"{'OBJECTID': 18, 'Province_State': None, 'Country_Region': 'Azerbaijan', 'Last_Update': 1616502373000, 'Lat': 40.1431, 'Long_': 47.5769, 'Confirmed': 246974, 'Recovered': 233087, 'Deaths': 3366, 'Active': 10521, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Azerbaijan'}","{'x': 47.57690000000008, 'y': 40.14310000000006}"
"{'OBJECTID': 19, 'Province_State': None, 'Country_Region': 'Bahamas', 'Last_Update': 1616502373000, 'Lat': 25.025885, 'Long_': -78.035889, 'Confirmed': 8923, 'Recovered': 7734, 'Deaths': 188, 'Active': 1001, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Bahamas'}","{'x': -78.03588899999994, 'y': 25.025885000000073}"
"{'OBJECTID': 20, 'Province_State': None, 'Country_Region': 'Bahrain', 'Last_Update': 1616502373000, 'Lat': 26.0275, 'Long_': 50.55, 'Confirmed': 136741, 'Recovered': 129242, 'Deaths': 502, 'Active': 6997, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Bahrain'}","{'x': 50.55000000000006, 'y': 26.027500000000032}"
"{'OBJECTID': 21, 'Province_State': None, 'Country_Region': 'Bangladesh', 'Last_Update': 1616502373000, 'Lat': 23.685, 'Long_': 90.3563, 'Confirmed': 577241, 'Recovered': 525694, 'Deaths': 8738, 'Active': 42809, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Bangladesh'}","{'x': 90.35630000000003, 'y': 23.68500000000006}"
"{'OBJECTID': 22, 'Province_State': None, 'Country_Region': 'Barbados', 'Last_Update': 1616502373000, 'Lat': 13.1939, 'Long_': -59.5432, 'Confirmed': 3559, 'Recovered': 3358, 'Deaths': 40, 'Active': 161, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Barbados'}","{'x': -59.54319999999995, 'y': 13.193900000000042}"
"{'OBJECTID': 23, 'Province_State': None, 'Country_Region': 'Belarus', 'Last_Update': 1616502373000, 'Lat': 53.7098, 'Long_': 27.9534, 'Confirmed': 311428, 'Recovered': 302168, 'Deaths': 2166, 'Active': 7094, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Belarus'}","{'x': 27.953400000000045, 'y': 53.70980000000003}"
"{'OBJECTID': 24, 'Province_State': 'Antwerp', 'Country_Region': 'Belgium', 'Last_Update': 1616502373000, 'Lat': 51.2195, 'Long_': 4.4024, 'Confirmed': 106514, 'Recovered': 0, 'Deaths': 0, 'Active': 106514, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Antwerp, Belgium'}","{'x': 4.402400000000057, 'y': 51.21950000000004}"
"{'OBJECTID': 25, 'Province_State': 'Brussels', 'Country_Region': 'Belgium', 'Last_Update': 1616502373000, 'Lat': 50.8503, 'Long_': 4.3517, 'Confirmed': 104310, 'Recovered': 0, 'Deaths': 0, 'Active': 104310, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Brussels, Belgium'}","{'x': 4.351700000000051, 'y': 50.85030000000006}"
"{'OBJECTID': 26, 'Province_State': 'East Flanders', 'Country_Region': 'Belgium', 'Last_Update': 1616502373000, 'Lat': 51.0362, 'Long_': 3.7373, 'Confirmed': 93771, 'Recovered': 0, 'Deaths': 0, 'Active': 93771, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'East Flanders, Belgium'}","{'x': 3.7373000000000616, 'y': 51.036200000000065}"
"{'OBJECTID': 27, 'Province_State': 'Flemish Brabant', 'Country_Region': 'Belgium', 'Last_Update': 1616502373000, 'Lat': 50.9167, 'Long_': 4.5833, 'Confirmed': 64837, 'Recovered': 0, 'Deaths': 0, 'Active': 64837, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Flemish Brabant, Belgium'}","{'x': 4.583300000000065, 'y': 50.91670000000005}"
