attributes,geometry
"{'OBJECTID': 200, 'Province_State': None, 'Country_Region': 'Eritrea', 'Last_Update': 1616502373000, 'Lat': 15.1794, 'Long_': 39.7823, 'Confirmed': 3118, 'Recovered': 2865, 'Deaths': 7, 'Active': 246, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Eritrea'}","{'x': 39.78230000000008, 'y': 15.179400000000044}"
"{'OBJECTID': 201, 'Province_State': None, 'Country_Region': 'Estonia', 'Last_Update': 1616502373000, 'Lat': 58.5953, 'Long_': 25.0136, 'Confirmed': 97456, 'Recovered': 70346, 'Deaths': 809, 'Active': 26301, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Estonia'}","{'x': 25.013600000000057, 'y': 58.595300000000066}"
"{'OBJECTID': 202, 'Province_State': None, 'Country_Region': 'Eswatini', 'Last_Update': 1616502373000, 'Lat': -26.5225, 'Long_': 31.4659, 'Confirmed': 17290, 'Recovered': 16067, 'Deaths': 665, 'Active': 558, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Eswatini'}","{'x': 31.465900000000033, 'y': -26.52249999999998}"
"{'OBJECTID': 203, 'Province_State': None, 'Country_Region': 'Ethiopia', 'Last_Update': 1616502373000, 'Lat': 9.145, 'Long_': 40.4897, 'Confirmed': 188902, 'Recovered': 148571, 'Deaths': 2674, 'Active': 37657, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Ethiopia'}","{'x': 40.489700000000035, 'y': 9.145000000000039}"
"{'OBJECTID': 204, 'Province_State': None, 'Country_Region': 'Fiji', 'Last_Update': 1616502373000, 'Lat': -17.7134, 'Long_': 178.065, 'Confirmed': 67, 'Recovered': 64, 'Deaths': 2, 'Active': 1, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Fiji'}","{'x': 178.06500000000003, 'y': -17.71339999999998}"
"{'OBJECTID': 205, 'Province_State': None, 'Country_Region': 'Finland', 'Last_Update': 1616502373000, 'Lat': 61.92411, 'Long_': 25.748151, 'Confirmed': 72713, 'Recovered': 46000, 'Deaths': 808, 'Active': 25905, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Finland'}","{'x': 25.748151000000064, 'y': 61.92411000000004}"
"{'OBJECTID': 206, 'Province_State': None, 'Country_Region': 'France', 'Last_Update': 1616502373000, 'Lat': 46.2276, 'Long_': 2.2137, 'Confirmed': 4268711, 'Recovered': 253477, 'Deaths': 92080, 'Active': 3923154, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'France'}","{'x': 2.213700000000074, 'y': 46.227600000000045}"
"{'OBJECTID': 207, 'Province_State': 'French Guiana', 'Country_Region': 'France', 'Last_Update': 1616502373000, 'Lat': 4, 'Long_': -53, 'Confirmed': 16764, 'Recovered': 9995, 'Deaths': 87, 'Active': 6682, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'French Guiana, France'}","{'x': -52.99999999999994, 'y': 4.000000000000057}"
"{'OBJECTID': 208, 'Province_State': 'French Polynesia', 'Country_Region': 'France', 'Last_Update': 1616502373000, 'Lat': -17.6797, 'Long_': -149.4068, 'Confirmed': 18587, 'Recovered': 4842, 'Deaths': 141, 'Active': 13604, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'French Polynesia, France'}","{'x': -149.40679999999998, 'y': -17.67969999999997}"
"{'OBJECTID': 209, 'Province_State': 'Guadeloupe', 'Country_Region': 'France', 'Last_Update': 1616502373000, 'Lat': 16.265, 'Long_': -61.551, 'Confirmed': 11095, 'Recovered': 2242, 'Deaths': 169, 'Active': 8684, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Guadeloupe, France'}","{'x': -61.55099999999998, 'y': 16.265000000000043}"
"{'OBJECTID': 210, 'Province_State': 'Martinique', 'Country_Region': 'France', 'Last_Update': 1616502373000, 'Lat': 14.6415, 'Long_': -61.0242, 'Confirmed': 7264, 'Recovered': 98, 'Deaths': 47, 'Active': 7119, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Martinique, France'}","{'x': -61.02419999999995, 'y': 14.641500000000065}"
"{'OBJECTID': 211, 'Province_State': 'Mayotte', 'Country_Region': 'France', 'Last_Update': 1616502373000, 'Lat': -12.8275, 'Long_': 45.166244, 'Confirmed': 19006, 'Recovered': 2964, 'Deaths': 151, 'Active': 15891, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Mayotte, France'}","{'x': 45.16624400000006, 'y': -12.82749999999993}"
"{'OBJECTID': 212, 'Province_State': 'New Caledonia', 'Country_Region': 'France', 'Last_Update': 1616502373000, 'Lat': -20.904305, 'Long_': 165.618042, 'Confirmed': 116, 'Recovered': 58, 'Deaths': 0, 'Active': 58, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'New Caledonia, France'}","{'x': 165.61804200000006, 'y': -20.904304999999965}"
"{'OBJECTID': 213, 'Province_State': 'Reunion', 'Country_Region': 'France', 'Last_Update': 1616502373000, 'Lat': -21.1151, 'Long_': 55.5364, 'Confirmed': 14631, 'Recovered': 13109, 'Deaths': 87, 'Active': 1435, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Reunion, France'}","{'x': 55.53640000000007, 'y': -21.115099999999927}"
"{'OBJECTID': 214, 'Province_State': 'Saint Barthelemy', 'Country_Region': 'France', 'Last_Update': 1616502373000, 'Lat': 17.9, 'Long_': -62.8333, 'Confirmed': 775, 'Recovered': 462, 'Deaths': 1, 'Active': 312, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Saint Barthelemy, France'}","{'x': -62.83329999999995, 'y': 17.900000000000034}"
"{'OBJECTID': 215, 'Province_State': 'Saint Pierre and Miquelon', 'Country_Region': 'France', 'Last_Update': 1616502373000, 'Lat': 46.8852, 'Long_': -56.3159, 'Confirmed': 24, 'Recovered': 24, 'Deaths': 0, 'Active': 0, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Saint Pierre and Miquelon, France'}","{'x': -56.31589999999994, 'y': 46.885200000000054}"
"{'OBJECTID': 216, 'Province_State': 'St Martin', 'Country_Region': 'France', 'Last_Update': 1616502373000, 'Lat': 18.0708, 'Long_': -63.0501, 'Confirmed': 1619, 'Recovered': 1399, 'Deaths': 12, 'Active': 208, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'St Martin, France'}","{'x': -63.050099999999986, 'y': 18.070800000000077}"
"{'OBJECTID': 217, 'Province_State': 'Wallis and Futuna', 'Country_Region': 'France', 'Last_Update': 1616502373000, 'Lat': -14.2938, 'Long_': -178.1165, 'Confirmed': 318, 'Recovered': 13, 'Deaths': 1, 'Active': 309, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Wallis and Futuna, France'}","{'x': -178.11649999999997, 'y': -14.293799999999976}"
"{'OBJECTID': 218, 'Province_State': None, 'Country_Region': 'Gabon', 'Last_Update': 1616502373000, 'Lat': -0.8037, 'Long_': 11.6094, 'Confirmed': 18078, 'Recovered': 15654, 'Deaths': 108, 'Active': 2316, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Gabon'}","{'x': 11.609400000000052, 'y': -0.8036999999999352}"
"{'OBJECTID': 219, 'Province_State': None, 'Country_Region': 'Gambia', 'Last_Update': 1616502373000, 'Lat': 13.4432, 'Long_': -15.3101, 'Confirmed': 5255, 'Recovered': 4875, 'Deaths': 161, 'Active': 219, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Gambia'}","{'x': -15.310099999999975, 'y': 13.443200000000047}"
"{'OBJECTID': 220, 'Province_State': None, 'Country_Region': 'Georgia', 'Last_Update': 1616502373000, 'Lat': 42.3154, 'Long_': 43.3569, 'Confirmed': 278178, 'Recovered': 270668, 'Deaths': 3714, 'Active': 3796, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Georgia'}","{'x': 43.35690000000005, 'y': 42.31540000000006}"
"{'OBJECTID': 221, 'Province_State': 'Baden-Wurttemberg', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 48.6616, 'Long_': 9.3501, 'Confirmed': 344798, 'Recovered': 316609, 'Deaths': 8551, 'Active': 19638, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Baden-Wurttemberg, Germany'}","{'x': 9.350100000000054, 'y': 48.66160000000008}"
"{'OBJECTID': 222, 'Province_State': 'Bayern', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 48.7904, 'Long_': 11.4979, 'Confirmed': 474814, 'Recovered': 434935, 'Deaths': 13021, 'Active': 26858, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Bayern, Germany'}","{'x': 11.497900000000072, 'y': 48.790400000000034}"
"{'OBJECTID': 223, 'Province_State': 'Berlin', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 52.52, 'Long_': 13.405, 'Confirmed': 138984, 'Recovered': 129774, 'Deaths': 2998, 'Active': 6212, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Berlin, Germany'}","{'x': 13.40500000000003, 'y': 52.52000000000004}"
"{'OBJECTID': 224, 'Province_State': 'Brandenburg', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 52.4125, 'Long_': 12.5316, 'Confirmed': 83272, 'Recovered': 75119, 'Deaths': 3246, 'Active': 4907, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Brandenburg, Germany'}","{'x': 12.531600000000026, 'y': 52.41250000000008}"
"{'OBJECTID': 225, 'Province_State': 'Bremen', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 53.0793, 'Long_': 8.8017, 'Confirmed': 19764, 'Recovered': 18293, 'Deaths': 396, 'Active': 1075, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Bremen, Germany'}","{'x': 8.80170000000004, 'y': 53.079300000000046}"
"{'OBJECTID': 226, 'Province_State': 'Hamburg', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 53.5511, 'Long_': 9.9937, 'Confirmed': 57759, 'Recovered': 51410, 'Deaths': 1355, 'Active': 4994, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Hamburg, Germany'}","{'x': 9.993700000000047, 'y': 53.55110000000008}"
"{'OBJECTID': 227, 'Province_State': 'Hessen', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 50.6521, 'Long_': 9.1624, 'Confirmed': 206793, 'Recovered': 186540, 'Deaths': 6182, 'Active': 14071, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Hessen, Germany'}","{'x': 9.162400000000048, 'y': 50.652100000000075}"
"{'OBJECTID': 228, 'Province_State': 'Mecklenburg-Vorpommern', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 53.6127, 'Long_': 12.4296, 'Confirmed': 28095, 'Recovered': 25273, 'Deaths': 832, 'Active': 1990, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Mecklenburg-Vorpommern, Germany'}","{'x': 12.42960000000005, 'y': 53.612700000000075}"
"{'OBJECTID': 229, 'Province_State': 'Niedersachsen', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 52.6367, 'Long_': 9.8451, 'Confirmed': 185062, 'Recovered': 167855, 'Deaths': 4738, 'Active': 12469, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Niedersachsen, Germany'}","{'x': 9.84510000000006, 'y': 52.63670000000008}"
"{'OBJECTID': 230, 'Province_State': 'Nordrhein-Westfalen', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 51.4332, 'Long_': 7.6616, 'Confirmed': 580884, 'Recovered': 529987, 'Deaths': 13960, 'Active': 36937, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Nordrhein-Westfalen, Germany'}","{'x': 7.66160000000002, 'y': 51.433200000000056}"
"{'OBJECTID': 231, 'Province_State': 'Rheinland-Pfalz', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 50.1183, 'Long_': 7.309, 'Confirmed': 110525, 'Recovered': 101296, 'Deaths': 3264, 'Active': 5965, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Rheinland-Pfalz, Germany'}","{'x': 7.309000000000026, 'y': 50.11830000000003}"
"{'OBJECTID': 232, 'Province_State': 'Saarland', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 49.3964, 'Long_': 7.023, 'Confirmed': 30790, 'Recovered': 28746, 'Deaths': 932, 'Active': 1112, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Saarland, Germany'}","{'x': 7.023000000000025, 'y': 49.396400000000035}"
"{'OBJECTID': 233, 'Province_State': 'Sachsen', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 51.1045, 'Long_': 13.2017, 'Confirmed': 210440, 'Recovered': 190350, 'Deaths': 8236, 'Active': 11854, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Sachsen, Germany'}","{'x': 13.201700000000072, 'y': 51.10450000000003}"
"{'OBJECTID': 234, 'Province_State': 'Sachsen-Anhalt', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 51.9503, 'Long_': 11.6923, 'Confirmed': 68343, 'Recovered': 60942, 'Deaths': 2667, 'Active': 4734, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Sachsen-Anhalt, Germany'}","{'x': 11.692300000000046, 'y': 51.95030000000003}"
"{'OBJECTID': 235, 'Province_State': 'Schleswig-Holstein', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 54.2194, 'Long_': 9.6961, 'Confirmed': 47200, 'Recovered': 42564, 'Deaths': 1411, 'Active': 3225, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Schleswig-Holstein, Germany'}","{'x': 9.696100000000058, 'y': 54.219400000000064}"
"{'OBJECTID': 236, 'Province_State': 'Thuringen', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': 51.011, 'Long_': 10.8453, 'Confirmed': 87809, 'Recovered': 77490, 'Deaths': 3222, 'Active': 7097, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Thuringen, Germany'}","{'x': 10.845300000000066, 'y': 51.01100000000008}"
"{'OBJECTID': 237, 'Province_State': 'Unknown', 'Country_Region': 'Germany', 'Last_Update': 1616502373000, 'Lat': None, 'Long_': None, 'Confirmed': 5668, 'Recovered': 0, 'Deaths': 0, 'Active': 5668, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Unknown, Germany'}",
"{'OBJECTID': 238, 'Province_State': None, 'Country_Region': 'Ghana', 'Last_Update': 1616502373000, 'Lat': 7.9465, 'Long_': -1.0232, 'Confirmed': 89787, 'Recovered': 85965, 'Deaths': 731, 'Active': 3091, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Ghana'}","{'x': -1.0231999999999744, 'y': 7.946500000000072}"
"{'OBJECTID': 239, 'Province_State': None, 'Country_Region': 'Greece', 'Last_Update': 1616502373000, 'Lat': 39.0742, 'Long_': 21.8243, 'Confirmed': 238830, 'Recovered': 93764, 'Deaths': 7531, 'Active': 137535, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Greece'}","{'x': 21.82430000000005, 'y': 39.07420000000008}"
"{'OBJECTID': 240, 'Province_State': None, 'Country_Region': 'Grenada', 'Last_Update': 1616502373000, 'Lat': 12.1165, 'Long_': -61.679, 'Confirmed': 154, 'Recovered': 151, 'Deaths': 1, 'Active': 2, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Grenada'}","{'x': -61.678999999999974, 'y': 12.11650000000003}"
"{'OBJECTID': 241, 'Province_State': None, 'Country_Region': 'Guatemala', 'Last_Update': 1616502373000, 'Lat': 15.7835, 'Long_': -90.2308, 'Confirmed': 188119, 'Recovered': 171873, 'Deaths': 6710, 'Active': 9536, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Guatemala'}","{'x': -90.23079999999999, 'y': 15.78350000000006}"
"{'OBJECTID': 242, 'Province_State': None, 'Country_Region': 'Guinea', 'Last_Update': 1616502373000, 'Lat': 9.9456, 'Long_': -9.6966, 'Confirmed': 18945, 'Recovered': 16079, 'Deaths': 113, 'Active': 2753, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Guinea'}","{'x': -9.696599999999933, 'y': 9.94560000000007}"
"{'OBJECTID': 243, 'Province_State': None, 'Country_Region': 'Guinea-Bissau', 'Last_Update': 1616502373000, 'Lat': 11.8037, 'Long_': -15.1804, 'Confirmed': 3568, 'Recovered': 2870, 'Deaths': 55, 'Active': 643, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Guinea-Bissau'}","{'x': -15.180399999999963, 'y': 11.803700000000047}"
"{'OBJECTID': 244, 'Province_State': None, 'Country_Region': 'Guyana', 'Last_Update': 1616502373000, 'Lat': 4.860416, 'Long_': -58.93018, 'Confirmed': 9668, 'Recovered': 8522, 'Deaths': 216, 'Active': 930, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Guyana'}","{'x': -58.93017999999995, 'y': 4.860416000000043}"
"{'OBJECTID': 245, 'Province_State': None, 'Country_Region': 'Haiti', 'Last_Update': 1616502373000, 'Lat': 18.9712, 'Long_': -72.2852, 'Confirmed': 12722, 'Recovered': 10667, 'Deaths': 251, 'Active': 1804, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Haiti'}","{'x': -72.28519999999997, 'y': 18.971200000000067}"
"{'OBJECTID': 246, 'Province_State': None, 'Country_Region': 'Holy See', 'Last_Update': 1616502373000, 'Lat': 41.9029, 'Long_': 12.4534, 'Confirmed': 27, 'Recovered': 15, 'Deaths': 0, 'Active': 12, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Holy See'}","{'x': 12.453400000000045, 'y': 41.902900000000045}"
"{'OBJECTID': 247, 'Province_State': None, 'Country_Region': 'Honduras', 'Last_Update': 1616502373000, 'Lat': 15.2, 'Long_': -86.2419, 'Confirmed': 183280, 'Recovered': 69177, 'Deaths': 4469, 'Active': 109634, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Honduras'}","{'x': -86.24189999999999, 'y': 15.200000000000044}"
"{'OBJECTID': 248, 'Province_State': None, 'Country_Region': 'Hungary', 'Last_Update': 1616502373000, 'Lat': 47.1625, 'Long_': 19.5033, 'Confirmed': 586123, 'Recovered': 378176, 'Deaths': 18703, 'Active': 189244, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Hungary'}","{'x': 19.503300000000024, 'y': 47.16250000000008}"
"{'OBJECTID': 249, 'Province_State': None, 'Country_Region': 'Iceland', 'Last_Update': 1616502373000, 'Lat': 64.9631, 'Long_': -19.0208, 'Confirmed': 6122, 'Recovered': 6036, 'Deaths': 29, 'Active': 57, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Iceland'}","{'x': -19.02079999999995, 'y': 64.96310000000005}"
"{'OBJECTID': 250, 'Province_State': 'Andaman and Nicobar Islands', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 11.225999, 'Long_': 92.968178, 'Confirmed': 5039, 'Recovered': 4969, 'Deaths': 62, 'Active': 8, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Andaman and Nicobar Islands, India'}","{'x': 92.96817800000008, 'y': 11.225999000000058}"
"{'OBJECTID': 251, 'Province_State': 'Andhra Pradesh', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 15.9129, 'Long_': 79.74, 'Confirmed': 894044, 'Recovered': 884471, 'Deaths': 7191, 'Active': 2382, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Andhra Pradesh, India'}","{'x': 79.74000000000007, 'y': 15.912900000000036}"
"{'OBJECTID': 252, 'Province_State': 'Arunachal Pradesh', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 27.768456, 'Long_': 96.384277, 'Confirmed': 16842, 'Recovered': 16784, 'Deaths': 56, 'Active': 2, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Arunachal Pradesh, India'}","{'x': 96.38427700000005, 'y': 27.76845600000007}"
"{'OBJECTID': 253, 'Province_State': 'Assam', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 26.357149, 'Long_': 92.830441, 'Confirmed': 218006, 'Recovered': 215235, 'Deaths': 1101, 'Active': 1670, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Assam, India'}","{'x': 92.83044100000006, 'y': 26.35714900000005}"
"{'OBJECTID': 254, 'Province_State': 'Bihar', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 25.679658, 'Long_': 85.60484, 'Confirmed': 263659, 'Recovered': 261537, 'Deaths': 1561, 'Active': 561, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Bihar, India'}","{'x': 85.60484000000008, 'y': 25.67965800000007}"
"{'OBJECTID': 255, 'Province_State': 'Chandigarh', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 30.733839, 'Long_': 76.768278, 'Confirmed': 24667, 'Recovered': 22325, 'Deaths': 363, 'Active': 1979, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Chandigarh, India'}","{'x': 76.76827800000007, 'y': 30.73383900000005}"
"{'OBJECTID': 256, 'Province_State': 'Chhattisgarh', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 21.264705, 'Long_': 82.035366, 'Confirmed': 325678, 'Recovered': 312511, 'Deaths': 3962, 'Active': 9205, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Chhattisgarh, India'}","{'x': 82.03536600000007, 'y': 21.26470500000005}"
"{'OBJECTID': 257, 'Province_State': 'Dadra and Nagar Haveli and Daman and Diu', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 20.194742, 'Long_': 73.080901, 'Confirmed': 3485, 'Recovered': 3431, 'Deaths': 2, 'Active': 52, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Dadra and Nagar Haveli and Daman and Diu, India'}","{'x': 73.08090100000004, 'y': 20.194742000000076}"
"{'OBJECTID': 258, 'Province_State': 'Delhi', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 28.646519, 'Long_': 77.10898, 'Confirmed': 648872, 'Recovered': 633975, 'Deaths': 10963, 'Active': 3934, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Delhi, India'}","{'x': 77.10898000000003, 'y': 28.64651900000007}"
"{'OBJECTID': 259, 'Province_State': 'Goa', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 15.359682, 'Long_': 74.057396, 'Confirmed': 56708, 'Recovered': 54873, 'Deaths': 818, 'Active': 1017, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Goa, India'}","{'x': 74.05739600000004, 'y': 15.359682000000078}"
"{'OBJECTID': 260, 'Province_State': 'Gujarat', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 22.694884, 'Long_': 71.590923, 'Confirmed': 288649, 'Recovered': 276348, 'Deaths': 4454, 'Active': 7847, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Gujarat, India'}","{'x': 71.59092300000003, 'y': 22.69488400000006}"
"{'OBJECTID': 261, 'Province_State': 'Haryana', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 29.20004, 'Long_': 76.332824, 'Confirmed': 280693, 'Recovered': 271894, 'Deaths': 3101, 'Active': 5698, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Haryana, India'}","{'x': 76.33282400000007, 'y': 29.200040000000055}"
"{'OBJECTID': 262, 'Province_State': 'Himachal Pradesh', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 31.927213, 'Long_': 77.233081, 'Confirmed': 60878, 'Recovered': 58472, 'Deaths': 1021, 'Active': 1385, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Himachal Pradesh, India'}","{'x': 77.23308100000008, 'y': 31.92721300000005}"
"{'OBJECTID': 263, 'Province_State': 'Jammu and Kashmir', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 33.75943, 'Long_': 76.612638, 'Confirmed': 128679, 'Recovered': 125362, 'Deaths': 1981, 'Active': 1336, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Jammu and Kashmir, India'}","{'x': 76.61263800000006, 'y': 33.759430000000066}"
"{'OBJECTID': 264, 'Province_State': 'Jharkhand', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 23.654536, 'Long_': 85.557631, 'Confirmed': 121371, 'Recovered': 119478, 'Deaths': 1097, 'Active': 796, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Jharkhand, India'}","{'x': 85.55763100000006, 'y': 23.654536000000064}"
"{'OBJECTID': 265, 'Province_State': 'Karnataka', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 14.70518, 'Long_': 76.166436, 'Confirmed': 971647, 'Recovered': 944917, 'Deaths': 12444, 'Active': 14286, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Karnataka, India'}","{'x': 76.16643600000003, 'y': 14.70518000000004}"
"{'OBJECTID': 266, 'Province_State': 'Kerala', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 10.450898, 'Long_': 76.405749, 'Confirmed': 1105467, 'Recovered': 1076571, 'Deaths': 4507, 'Active': 24389, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Kerala, India'}","{'x': 76.40574900000006, 'y': 10.450898000000052}"
"{'OBJECTID': 267, 'Province_State': 'Ladakh', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 34.1526, 'Long_': 77.5771, 'Confirmed': 9920, 'Recovered': 9707, 'Deaths': 130, 'Active': 83, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Ladakh, India'}","{'x': 77.57710000000003, 'y': 34.152600000000064}"
"{'OBJECTID': 268, 'Province_State': 'Lakshadweep', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 13.6999972, 'Long_': 72.1833326, 'Confirmed': 691, 'Recovered': 581, 'Deaths': 1, 'Active': 109, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Lakshadweep, India'}","{'x': 72.18333260000003, 'y': 13.69999720000004}"
"{'OBJECTID': 269, 'Province_State': 'Madhya Pradesh', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 23.541513, 'Long_': 78.289633, 'Confirmed': 277075, 'Recovered': 264575, 'Deaths': 3908, 'Active': 8592, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Madhya Pradesh, India'}","{'x': 78.28963300000004, 'y': 23.541513000000062}"
"{'OBJECTID': 270, 'Province_State': 'Maharashtra', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 19.449759, 'Long_': 76.108221, 'Confirmed': 2504327, 'Recovered': 2234330, 'Deaths': 53457, 'Active': 216540, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Maharashtra, India'}","{'x': 76.10822100000006, 'y': 19.44975900000003}"
"{'OBJECTID': 271, 'Province_State': 'Manipur', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 24.738975, 'Long_': 93.882541, 'Confirmed': 29339, 'Recovered': 28933, 'Deaths': 373, 'Active': 33, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Manipur, India'}","{'x': 93.88254100000006, 'y': 24.73897500000004}"
"{'OBJECTID': 272, 'Province_State': 'Meghalaya', 'Country_Region': 'India', 'Last_Update': 1616502373000, 'Lat': 25.536934, 'Long_': 91.278882, 'Confirmed': 14016, 'Recovered': 13838, 'Deaths': 149, 'Active': 29, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Meghalaya, India'}","{'x': 91.27888200000007, 'y': 25.53693400000003}"
